,Boat,Ranking,Team,Score,Date
13,1V,14,GEO,12.81,"May 8, 2019"
14,1V,15,PEN,13.13,"May 8, 2019"
15,1V,16,HOL,15.06,"May 8, 2019"
16,1V,17,RUT,16.00,"May 8, 2019"
0,2V,1,YAL,1.00,"May 8, 2019"
1,2V,2,BRO,2.06,"May 8, 2019"
2,2V,3,HAR,2.75,"May 8, 2019"
3,2V,4,PRI,3.81,"May 8, 2019"
4,2V,5,NOR,4.75,"May 8, 2019"
5,2V,6,BOS,5.69,"May 8, 2019"
6,2V,7,DAR,6.80,"May 8, 2019"
7,2V,8,SYR,7.44,"May 8, 2019"
8,2V,9,NAV,8.50,"May 8, 2019"
9,2V,10,COR,10.00,"May 8, 2019"
10,2V,11,COL,10.50,"May 8, 2019"
11,2V,12,WIS,11.40,"May 8, 2019"
12,2V,13,GWU,12.19,"May 8, 2019"
13,2V,14,PEN,12.63,"May 8, 2019"
14,2V,15,GEO,14.19,"May 8, 2019"
15,2V,16,HOL,14.81,"May 8, 2019"
16,2V,17,RUT,16.00,"May 8, 2019"
0,3V,1,YAL,1.00,"May 8, 2019"
1,3V,2,PRI,2.00,"May 8, 2019"
2,3V,3,HAR,2.77,"May 8, 2019"
3,3V,4,DAR,4.50,"May 8, 2019"
4,3V,5,BRO,4.92,"May 8, 2019"
5,3V,6,NOR,5.69,"May 8, 2019"
6,3V,7,SYR,6.08,"May 8, 2019"
7,3V,8,BOS,7.00,"May 8, 2019"
8,3V,9,NAV,8.31,"May 8, 2019"
9,3V,10,COR,9.62,"May 8, 2019"
10,3V,11,WIS,10.00,"May 8, 2019"
11,3V,12,GWU,11.08,"May 8, 2019"
12,3V,13,COL,12.15,"May 8, 2019"
13,3V,14,HOL,12.92,"May 8, 2019"
0,4V,1,YAL,1.00,"May 8, 2019"
1,4V,2,PRI,1.90,"May 8, 2019"
2,4V,3,HAR,2.80,"May 8, 2019"
3,4V,4,DAR,3.80,"May 8, 2019"
4,4V,5,BOS,4.70,"May 8, 2019"
5,4V,6,NAV,5.50,"May 8, 2019"
6,4V,7,SYR,6.70,"May 8, 2019"
7,4V,8,BRO,7.10,"May 8, 2019"
8,4V,9,WIS,8.50,"May 8, 2019"
9,4V,10,GWU,9.00,"May 8, 2019"
10,4V,11,COR,9.50,"May 8, 2019"
0,5V,1,YAL,1.00,"May 8, 2019"
1,5V,2,NAV,2.00,"May 8, 2019"
2,5V,3,WIS,3.17,"May 8, 2019"
3,5V,4,HAR,3.30,"May 8, 2019"
4,5V,5,PRI,4.20,"May 8, 2019"
5,5V,6,DAR,4.80,"May 8, 2019"
0,1V,1,YAL,1.00,"May 1, 2019"
1,1V,2,HAR,1.94,"May 1, 2019"
2,1V,3,BRO,2.94,"May 1, 2019"
3,1V,4,NOR,4.25,"May 1, 2019"
4,1V,5,PRI,4.50,"May 1, 2019"
5,1V,6,BOS,5.50,"May 1, 2019"
6,1V,7,SYR,6.63,"May 1, 2019"
7,1V,8,DAR,7.56,"May 1, 2019"
8,1V,9,NAV,8.44,"May 1, 2019"
9,1V,10,PEN,9.88,"May 1, 2019"
10,1V,11,COR,10.56,"May 1, 2019"
11,1V,12,COL,11.44,"May 1, 2019"
12,1V,13,WIS,11.50,"May 1, 2019"
13,1V,14,GWU,13.19,"May 1, 2019"
14,1V,15,GEO,14.19,"May 1, 2019"
15,1V,16,HOL,15.00,"May 1, 2019"
16,1V,17,RUT,16.00,"May 1, 2019"
0,2V,1,YAL,1.00,"May 1, 2019"
1,2V,2,BRO,2.06,"May 1, 2019"
2,2V,3,HAR,2.81,"May 1, 2019"
3,2V,4,PRI,3.75,"May 1, 2019"
4,2V,5,NOR,4.75,"May 1, 2019"
5,2V,6,BOS,5.75,"May 1, 2019"
6,2V,7,DAR,6.70,"May 1, 2019"
7,2V,8,SYR,7.44,"May 1, 2019"
8,2V,9,NAV,8.56,"May 1, 2019"
9,2V,10,COR,10.40,"May 1, 2019"
10,2V,11,WIS,10.50,"May 1, 2019"
11,2V,12,GWU,10.81,"May 1, 2019"
12,2V,13,COL,11.90,"May 1, 2019"
13,2V,14,PEN,12.88,"May 1, 2019"
14,2V,15,GEO,14.25,"May 1, 2019"
15,2V,16,HOL,14.94,"May 1, 2019"
16,2V,17,RUT,16.00,"May 1, 2019"
0,3V,1,YAL,1.00,"May 1, 2019"
1,3V,2,PRI,2.15,"May 1, 2019"
2,3V,3,HAR,2.62,"May 1, 2019"
3,3V,4,DAR,4.40,"May 1, 2019"
4,3V,5,BRO,5.15,"May 1, 2019"
5,3V,6,NOR,5.38,"May 1, 2019"
6,3V,7,SYR,6.08,"May 1, 2019"
7,3V,8,BOS,7.08,"May 1, 2019"
8,3V,9,NAV,8.46,"May 1, 2019"
9,3V,10,COR,9.57,"May 1, 2019"
10,3V,11,WIS,10.10,"May 1, 2019"
11,3V,12,GWU,11.31,"May 1, 2019"
12,3V,13,COL,11.92,"May 1, 2019"
13,3V,14,HOL,13.00,"May 1, 2019"
0,4V,1,YAL,1.00,"May 1, 2019"
1,4V,2,PRI,1.90,"May 1, 2019"
2,4V,3,HAR,2.80,"May 1, 2019"
3,4V,4,DAR,3.90,"May 1, 2019"
4,4V,5,BOS,4.70,"May 1, 2019"
5,4V,6,NAV,5.60,"May 1, 2019"
6,4V,7,BRO,6.80,"May 1, 2019"
7,4V,7,SYR,6.80,"May 1, 2019"
8,4V,9,WIS,8.40,"May 1, 2019"
9,4V,10,GWU,9.20,"May 1, 2019"
10,4V,11,COR,9.40,"May 1, 2019"
0,5V,1,YAL,1.00,"May 1, 2019"
1,5V,2,NAV,2.83,"May 1, 2019"
2,5V,2,WIS,2.83,"May 1, 2019"
3,5V,4,HAR,3.33,"May 1, 2019"
4,5V,5,PRI,3.67,"May 1, 2019"
5,5V,6,DAR,4.80,"May 1, 2019"
0,1V,1,YAL,1.00,"April 24, 2019"
1,1V,2,HAR,1.94,"April 24, 2019"
2,1V,3,BRO,2.88,"April 24, 2019"
3,1V,4,NOR,4.19,"April 24, 2019"
4,1V,5,PRI,4.75,"April 24, 2019"
5,1V,6,BOS,5.50,"April 24, 2019"
6,1V,7,SYR,7.13,"April 24, 2019"
7,1V,8,DAR,7.20,"April 24, 2019"
8,1V,9,NAV,8.94,"April 24, 2019"
9,1V,10,PEN,9.38,"April 24, 2019"
10,1V,11,COR,10.41,"April 24, 2019"
11,1V,12,WIS,11.19,"April 24, 2019"
12,1V,13,COL,11.44,"April 24, 2019"
13,1V,14,GWU,13.19,"April 24, 2019"
14,1V,15,GEO,14.13,"April 24, 2019"
15,1V,16,HOL,15.06,"April 24, 2019"
16,1V,17,RUT,16.00,"April 24, 2019"
0,2V,1,YAL,1.00,"April 24, 2019"
1,2V,2,BRO,2.06,"April 24, 2019"
2,2V,3,HAR,2.81,"April 24, 2019"
3,2V,4,PRI,3.75,"April 24, 2019"
4,2V,5,NOR,4.75,"April 24, 2019"
5,2V,6,BOS,6.06,"April 24, 2019"
6,2V,7,SYR,6.63,"April 24, 2019"
7,2V,8,DAR,7.20,"April 24, 2019"
8,2V,9,NAV,8.63,"April 24, 2019"
9,2V,10,COR,10.70,"April 24, 2019"
10,2V,11,WIS,10.80,"April 24, 2019"
11,2V,12,GWU,10.81,"April 24, 2019"
12,2V,13,COL,11.44,"April 24, 2019"
13,2V,14,PEN,12.75,"April 24, 2019"
14,2V,15,GEO,14.31,"April 24, 2019"
15,2V,16,HOL,14.81,"April 24, 2019"
16,2V,17,RUT,16.00,"April 24, 2019"
0,3V,1,YAL,1.08,"April 24, 2019"
1,3V,2,PRI,2.15,"April 24, 2019"
2,3V,3,HAR,2.69,"April 24, 2019"
3,3V,4,BRO,3.77,"April 24, 2019"
4,3V,5,NOR,5.31,"April 24, 2019"
5,3V,6,BOS,5.54,"April 24, 2019"
6,3V,7,SYR,6.38,"April 24, 2019"
7,3V,8,DAR,7.00,"April 24, 2019"
8,3V,9,NAV,8.31,"April 24, 2019"
9,3V,10,COR,9.31,"April 24, 2019"
10,3V,11,WIS,10.30,"April 24, 2019"
11,3V,12,GWU,11.23,"April 24, 2019"
12,3V,13,COL,12.15,"April 24, 2019"
13,3V,14,HOL,13.38,"April 24, 2019"
0,4V,1,YAL,1.20,"April 24, 2019"
1,4V,2,PRI,1.70,"April 24, 2019"
2,4V,3,HAR,2.80,"April 24, 2019"
3,4V,4,DAR,4.10,"April 24, 2019"
4,4V,5,BOS,4.50,"April 24, 2019"
5,4V,6,NAV,5.60,"April 24, 2019"
6,4V,7,SYR,6.80,"April 24, 2019"
7,4V,8,BRO,6.90,"April 24, 2019"
8,4V,9,WIS,8.40,"April 24, 2019"
9,4V,10,GWU,9.00,"April 24, 2019"
10,4V,11,COR,9.50,"April 24, 2019"
0,5V,1,YAL,1.17,"April 24, 2019"
1,5V,2,HAR,2.83,"April 24, 2019"
2,5V,3,NAV,3.17,"April 24, 2019"
3,5V,3,WIS,3.17,"April 24, 2019"
4,5V,5,PRI,3.66,"April 24, 2019"
5,5V,6,DAR,4.50,"April 24, 2019"
0,1V,1,Yale,1.00,"May 6, 2018"
1,1V,2,Brown,2.00,"May 6, 2018"
2,1V,3,Harvard,2.93,"May 6, 2018"
3,1V,4,Northeastern,3.93,"May 6, 2018"
4,1V,5,Princeton,4.71,"May 6, 2018"
5,1V,6,Boston U.,6.43,"May 6, 2018"
6,1V,7,Syracuse,6.86,"May 6, 2018"
7,1V,8,Dartmouth,7.43,"May 6, 2018"
8,1V,9,Wisconsin,7.71,"May 6, 2018"
9,1V,10,Pennsylvania,9.50,"May 6, 2018"
10,1V,11,Cornell,10.29,"May 6, 2018"
11,1V,12,George Washington,11.43,"May 6, 2018"
12,1V,13,Navy,12.43,"May 6, 2018"
13,1V,14,Columbia,13.29,"May 6, 2018"
14,1V,15,Georgtown,14.00,"May 6, 2018"
15,1V,16,Holy Cross,15.00,"May 6, 2018"
16,1V,17,Rutgers,16.00,"May 6, 2018"
0,2V,1,Northeastern,1.36,"May 6, 2018"
1,2V,2,Princeton,1.57,"May 6, 2018"
2,2V,3,Yale,2.93,"May 6, 2018"
3,2V,4,Harvard,3.86,"May 6, 2018"
4,2V,5,Brown,4.79,"May 6, 2018"
5,2V,6,Dartmouth,5.71,"May 6, 2018"
6,2V,7,Boston U.,6.65,"May 6, 2018"
7,2V,8,Syracuse,7.64,"May 6, 2018"
8,2V,9,Wisconsin,8.64,"May 6, 2018"
9,2V,10,Cornell,9.21,"May 6, 2018"
10,2V,11,George Washington,10.36,"May 6, 2018"
11,2V,12,Columbia,11.36,"May 6, 2018"
12,2V,13,Navy,12.29,"May 6, 2018"
13,2V,14,Pennsylvania,13.21,"May 6, 2018"
14,2V,15,Georgtown,14.07,"May 6, 2018"
15,2V,16,Holy Cross,15.00,"May 6, 2018"
16,2V,17,Rutgers,16.00,"May 6, 2018"
0,3V,1,Yale,1.10,"May 6, 2018"
1,3V,2,Princeton,1.80,"May 6, 2018"
2,3V,3,Harvard,2.00,"May 6, 2018"
3,3V,4,Northeastern,3.80,"May 6, 2018"
4,3V,5,Brown,4.90,"May 6, 2018"
5,3V,6,Syracuse,5.50,"May 6, 2018"
6,3V,7,Dartmouth,6.80,"May 6, 2018"
7,3V,8,Boston U.,7.10,"May 6, 2018"
8,3V,9,Wisconsin,8.50,"May 6, 2018"
9,3V,10,Columbia,9.80,"May 6, 2018"
10,3V,11,Cornell,10.60,"May 6, 2018"
11,3V,12,George Washington,10.90,"May 6, 2018"
12,3V,13,Navy,11.20,"May 6, 2018"
0,4V,1,Princeton,1,"May 6, 2018"
1,4V,2,Harvard,2,"May 6, 2018"
2,4V,3,Yale,2.71,"May 6, 2018"
3,4V,4,Navy,3.71,"May 6, 2018"
4,4V,5,Dartmouth,4.29,"May 6, 2018"
5,4V,6,Brown,5.43,"May 6, 2018"
6,4V,7,Cornell,6.43,"May 6, 2018"
7,4V,7,Wisconsin,6.43,"May 6, 2018"
8,4V,9,Boston U.,N/R,"May 6, 2018"
0,5V,1,Princeton,1.00,"May 6, 2018"
1,5V,2,Navy,1.80,"May 6, 2018"
2,5V,3,Yale,3.20,"May 6, 2018"
3,5V,4,Wisconsin,3.60,"May 6, 2018"
4,5V,5,Brown,3.80,"May 6, 2018"
5,5V,6,Harvard,4.60,"May 6, 2018"
0,1V,1,Yale,1.00,"May 2, 2018"
1,1V,2,Brown,1.94,"May 2, 2018"
2,1V,3,Harvard,2.88,"May 2, 2018"
3,1V,4,Northeastern,3.94,"May 2, 2018"
4,1V,5,Princeton,4.63,"May 2, 2018"
5,1V,6,Boston U.,6.50,"May 2, 2018"
6,1V,7,Syracuse,6.81,"May 2, 2018"
7,1V,8,Dartmouth,7.35,"May 2, 2018"
8,1V,9,Wisconsin,7.75,"May 2, 2018"
9,1V,10,Pennsylvania,9.50,"May 2, 2018"
10,1V,11,Cornell,10.25,"May 2, 2018"
11,1V,12,George Washington,11.63,"May 2, 2018"
12,1V,13,Navy,12.38,"May 2, 2018"
13,1V,14,Columbia,13.13,"May 2, 2018"
14,1V,15,Georgtown,13.75,"May 2, 2018"
15,1V,16,Holy Cross,15.06,"May 2, 2018"
16,1V,17,Rutgers,16.00,"May 2, 2018"
0,2V,1,Northeastern,1.38,"May 2, 2018"
1,2V,2,Princeton,1.56,"May 2, 2018"
2,2V,3,Yale,2.88,"May 2, 2018"
3,2V,4,Harvard,3.81,"May 2, 2018"
4,2V,5,Brown,4.75,"May 2, 2018"
5,2V,6,Dartmouth,5.69,"May 2, 2018"
6,2V,7,Boston U.,6.69,"May 2, 2018"
7,2V,8,Syracuse,7.63,"May 2, 2018"
8,2V,9,Wisconsin,8.75,"May 2, 2018"
9,2V,10,Cornell,9.13,"May 2, 2018"
10,2V,11,George Washington,10.56,"May 2, 2018"
11,2V,12,Columbia,11.36,"May 2, 2018"
12,2V,13,Navy,12.06,"May 2, 2018"
13,2V,14,Pennsylvania,13.13,"May 2, 2018"
14,2V,15,Georgtown,14.06,"May 2, 2018"
15,2V,16,Holy Cross,15.06,"May 2, 2018"
16,2V,17,Rutgers,16.00,"May 2, 2018"
0,3V,1,Yale,1.17,"May 2, 2018"
1,3V,2,Princeton,1.75,"May 2, 2018"
2,3V,3,Harvard,2.83,"May 2, 2018"
3,3V,4,Northeastern,3.75,"May 2, 2018"
4,3V,5,Brown,4.83,"May 2, 2018"
5,3V,6,Syracuse,5.42,"May 2, 2018"
6,3V,7,Dartmouth,6.83,"May 2, 2018"
7,3V,8,Boston U.,7.08,"May 2, 2018"
8,3V,9,Wisconsin,8.83,"May 2, 2018"
9,3V,10,Columbia,9.83,"May 2, 2018"
10,3V,11,Cornell,10.58,"May 2, 2018"
11,3V,12,George Washington,10.92,"May 2, 2018"
12,3V,13,Navy,11.00,"May 2, 2018"
0,4V,1,Princeton,1.00,"May 2, 2018"
1,4V,2,Harvard,2.00,"May 2, 2018"
2,4V,3,Yale,2.70,"May 2, 2018"
3,4V,4,Navy,3.71,"May 2, 2018"
4,4V,5,Dartmouth,4.30,"May 2, 2018"
5,4V,6,Brown,5.40,"May 2, 2018"
6,4V,T-7,Cornell,6.43,"May 2, 2018"
7,4V,T-7,Wisconsin,6.43,"May 2, 2018"
0,5V,1,Princeton,1.00,"May 2, 2018"
1,5V,2,Navy,1.80,"May 2, 2018"
2,5V,3,Yale,3.20,"May 2, 2018"
3,5V,4,Wisconsin,3.60,"May 2, 2018"
4,5V,5,Brown,3.80,"May 2, 2018"
5,5V,6,Harvard,4.60,"May 2, 2018"
0,1V,1,Yale,1.00,"April 25, 2018"
1,1V,2,Brown,1.94,"April 25, 2018"
2,1V,3,Harvard,2.88,"April 25, 2018"
3,1V,4,Northeastern,4.25,"April 25, 2018"
4,1V,4,Princeton,4.31,"April 25, 2018"
5,1V,6,Dartmouth,5.75,"April 25, 2018"
6,1V,7,Boston U.,7.25,"April 25, 2018"
7,1V,8,Wisconsin,7.44,"April 25, 2018"
8,1V,9,Cornell,8.06,"April 25, 2018"
9,1V,10,Syracuse,9.31,"April 25, 2018"
10,1V,11,Columbia,10.50,"April 25, 2018"
11,1V,12,Pennsylvania,11.19,"April 25, 2018"
12,1V,13,Navy,12.25,"April 25, 2018"
13,1V,14,Georgetown,13.25,"April 25, 2018"
14,1V,15,George Washington,14.06,"April 25, 2018"
15,1V,16,Holy Cross,15.06,"April 25, 2018"
16,1V,17,Rutgers,16.00,"April 25, 2018"
0,2V,1,Northeastern,1.31,"April 25, 2018"
1,2V,2,Princeton,1.63,"April 25, 2018"
2,2V,3,Yale,2.94,"April 25, 2018"
3,2V,4,Harvard,3.75,"April 25, 2018"
4,2V,4,Brown,4.75,"April 25, 2018"
5,2V,6,Dartmouth,5.70,"April 25, 2018"
6,2V,7,Boston U.,6.63,"April 25, 2018"
7,2V,8,Syracuse,7.56,"April 25, 2018"
8,2V,9,Cornell,8.63,"April 25, 2018"
9,2V,10,Wisconsin,9.31,"April 25, 2018"
10,2V,11,Navy,10.80,"April 25, 2018"
11,2V,12,Columbia,11.06,"April 25, 2018"
12,2V,13,Pennsylvania,12.44,"April 25, 2018"
13,2V,14,George Washington,12.81,"April 25, 2018"
14,2V,15,Georgetown,14.13,"April 25, 2018"
15,2V,16,Holy Cross,15.06,"April 25, 2018"
16,2V,17,Rutgers,16.00,"April 25, 2018"
0,3V,1,Yale,1.08,"April 25, 2018"
1,3V,2,Princeton,2.00,"April 25, 2018"
2,3V,3,Northeastern,3.00,"April 25, 2018"
3,3V,4,Harvard,3.58,"April 25, 2018"
4,3V,5,Brown,4.92,"April 25, 2018"
5,3V,6,Syracuse,5.58,"April 25, 2018"
6,3V,7,Dartmouth,6.90,"April 25, 2018"
7,3V,8,Boston U.,7.25,"April 25, 2018"
8,3V,9,Wisconsin,8.25,"April 25, 2018"
9,3V,10,Navy,8.75,"April 25, 2018"
10,3V,11,Cornell,10.10,"April 25, 2018"
11,3V,12,Columbia,11.33,"April 25, 2018"
12,3V,13,George Washington,11.75,"April 25, 2018"
0,4V,1,Princeton,1.00,"April 25, 2018"
1,4V,2,Harvard,2.00,"April 25, 2018"
2,4V,3,Yale,2.86,"April 25, 2018"
3,4V,4,Navy,3.86,"April 25, 2018"
4,4V,4,Dartmouth,4.30,"April 25, 2018"
5,4V,6,Brown,5.00,"April 25, 2018"
6,4V,7,Cornell,6.43,"April 25, 2018"
7,4V,8,Wisconsin,6.57,"April 25, 2018"
0,5V,1,Princeton,1.00,"April 25, 2018"
1,5V,2,Navy,1.80,"April 25, 2018"
2,5V,3,Yale,3.00,"April 25, 2018"
3,5V,4,Columbia,3.60,"April 25, 2018"
4,5V,5,Wisconsin,4.20,"April 25, 2018"
5,5V,6,Harvard,4.40,"April 25, 2018"
0,1V,1,Yale,1.0,"April 18, 2018"
1,1V,2,Brown,2.0,"April 18, 2018"
2,1V,3,Harvard,2.9,"April 18, 2018"
3,1V,4,Princeton,4.3,"April 18, 2018"
4,1V,5,Northeastern,4.5,"April 18, 2018"
5,1V,6,Dartmouth,5.3,"April 18, 2018"
6,1V,7,Boston U.,7.1,"April 18, 2018"
7,1V,8,Wisconsin,7.6,"April 18, 2018"
8,1V,9,Cornell,8.1,"April 18, 2018"
9,1V,10,Syracuse,9.6,"April 18, 2018"
10,1V,11,Columbia,10.6,"April 18, 2018"
11,1V,12,Pennsylvania,11.5,"April 18, 2018"
12,1V,13,Navy,12.0,"April 18, 2018"
13,1V,14,Georgtown,13.4,"April 18, 2018"
14,1V,15,George Washington,13.9,"April 18, 2018"
15,1V,16,Holy Cross,15.1,"April 18, 2018"
16,1V,17,Rutgers,16.0,"April 18, 2018"
0,2V,1,Northeastern,1.6,"April 18, 2018"
1,2V,2,Princeton,1.9,"April 18, 2018"
2,2V,3,Yale,2.4,"April 18, 2018"
3,2V,4,Harvard,3.9,"April 18, 2018"
4,2V,5,Brown,5.1,"April 18, 2018"
5,2V,5,Dartmouth,5.1,"April 18, 2018"
6,2V,7,Boston U.,7.1,"April 18, 2018"
7,2V,8,Syracuse,7.3,"April 18, 2018"
8,2V,9,Cornell,8.7,"April 18, 2018"
9,2V,10,Wisconsin,9.3,"April 18, 2018"
10,2V,11,Navy,11.0,"April 18, 2018"
11,2V,12,Columbia,11.4,"April 18, 2018"
12,2V,13,Pennsylvania,12.4,"April 18, 2018"
13,2V,14,George Washington,12.6,"April 18, 2018"
14,2V,15,Georgtown,13.6,"April 18, 2018"
15,2V,16,Holy Cross,15.1,"April 18, 2018"
16,2V,17,Rutgers,16.0,"April 18, 2018"
0,3V,1,Princeton,1.4,"April 18, 2018"
1,3V,2,Yale,1.8,"April 18, 2018"
2,3V,3,Northeastern,3.1,"April 18, 2018"
3,3V,4,Harvard,3.2,"April 18, 2018"
4,3V,5,Brown,5.1,"April 18, 2018"
5,3V,5,Boston U.,5.8,"April 18, 2018"
6,3V,7,Dartmouth,6.5,"April 18, 2018"
7,3V,8,Syracuse,6.9,"April 18, 2018"
8,3V,9,Wisconsin,8.6,"April 18, 2018"
9,3V,10,Navy,9.2,"April 18, 2018"
10,3V,11,Cornell,10.0,"April 18, 2018"
11,3V,12,Columbia,11.3,"April 18, 2018"
12,3V,13,George Washington,11.6,"April 18, 2018"
0,4V,1,Princeton,1.3,"April 18, 2018"
1,4V,2,Yale,2.3,"April 18, 2018"
2,4V,3,Harvard,2.8,"April 18, 2018"
3,4V,4,Navy,4.0,"April 18, 2018"
4,4V,5,Brown,4.6,"April 18, 2018"
5,4V,5,Dartmouth,4.6,"April 18, 2018"
6,4V,7,Boston U.,7.1,"April 18, 2018"
7,4V,7,Cornell,7.1,"April 18, 2018"
8,4V,9,Wisconsin,7.4,"April 18, 2018"
9,4V,10,Syracuse,8.6,"April 18, 2018"
0,5V,1,Princeton,1.2,"April 18, 2018"
1,5V,2,Navy,2.2,"April 18, 2018"
2,5V,3,Yale,2.8,"April 18, 2018"
3,5V,4,Brown,3.6,"April 18, 2018"
4,5V,5,Harvard,4.0,"April 18, 2018"
5,5V,6,Wisconsin,4.2,"April 18, 2018"
0,1V,1,Yale,1.00,"May 9, 2017"
1,1V,2,Harvard,1.93,"May 9, 2017"
2,1V,3,Princeton,2.93,"May 9, 2017"
3,1V,4,Dartmouth,3.80,"May 9, 2017"
4,1V,5,Northeastern,5.33,"May 9, 2017"
5,1V,6,Syracuse,5.53,"May 9, 2017"
6,1V,7,Boston U.,6.33,"May 9, 2017"
7,1V,8,Brown,7.73,"May 9, 2017"
8,1V,9,Wisconsin,8.40,"May 9, 2017"
9,1V,10,Cornell,10.00,"May 9, 2017"
10,1V,11,Columbia,10.33,"May 9, 2017"
11,1V,12,Pennsylvania,11.07,"May 9, 2017"
12,1V,13,Navy,11.87,"May 9, 2017"
13,1V,14,George Washington,13.07,"May 9, 2017"
14,1V,15,Georgetown,14.13,"May 9, 2017"
15,1V,16,Holy Cross,15.07,"May 9, 2017"
16,1V,17,MIT,16.00,"May 9, 2017"
17,1V,18,Rutgers,17.00,"May 9, 2017"
0,2V,1,Yale,1.07,"May 9, 2017"
1,2V,2,Harvard,1.93,"May 9, 2017"
2,2V,3,Boston U.,3.40,"May 9, 2017"
3,2V,4,Princeton,3.60,"May 9, 2017"
4,2V,5,Wisconsin,5.07,"May 9, 2017"
5,2V,6,Northeastern,5.47,"May 9, 2017"
6,2V,7,Brown,6.53,"May 9, 2017"
7,2V,8,Dartmouth,7.20,"May 9, 2017"
8,2V,9,George Washington,8.80,"May 9, 2017"
9,2V,10,Columbia,10.07,"May 9, 2017"
10,2V,11,Cornell,11.00,"May 9, 2017"
11,2V,12,Navy,11.20,"May 9, 2017"
12,2V,13,Syracuse,11.87,"May 9, 2017"
13,2V,14,Pennsylvania,12.27,"May 9, 2017"
14,2V,15,Georgtown,14.40,"May 9, 2017"
15,2V,16,Holy Cross,14.87,"May 9, 2017"
16,2V,17,MIT,16.00,"May 9, 2017"
17,2V,18,Rutgers,17.00,"May 9, 2017"
0,3V,1,Harvard,1.15,"May 9, 2017"
1,3V,2,Yale,1.77,"May 9, 2017"
2,3V,3,Princeton,2.92,"May 9, 2017"
3,3V,4,Boston U.,3.92,"May 9, 2017"
4,3V,5,Northeastern,5.15,"May 9, 2017"
5,3V,6,Dartmouth,5.62,"May 9, 2017"
6,3V,7,Brown,6.92,"May 9, 2017"
7,3V,8,Navy,7.29,"May 9, 2017"
8,3V,9,Wisconsin,8.15,"May 9, 2017"
9,3V,10,Cornell,9.39,"May 9, 2017"
10,3V,11,George Washington,10.62,"May 9, 2017"
11,3V,12,Syracuse,11.00,"May 9, 2017"
12,3V,13,Columbia,12.62,"May 9, 2017"
13,3V,14,Pennsylvania,12.85,"May 9, 2017"
14,3V,15,Georgtown,13.85,"May 9, 2017"
15,3V,16,Rutgers,15.00,"May 9, 2017"
0,4V,1,Harvard,1.00,"May 9, 2017"
1,4V,2,Boston U.,2.33,"May 9, 2017"
2,4V,3,Princeton,2.44,"May 9, 2017"
3,4V,4,Brown,3.78,"May 9, 2017"
4,4V,5,Navy,4.89,"May 9, 2017"
5,4V,6,Dartmouth,5.67,"May 9, 2017"
6,4V,7,Cornell,6.11,"May 9, 2017"
7,4V,8,Yale,6.78,"May 9, 2017"
8,4V,9,Wisconsin,8.00,"May 9, 2017"
9,4V,10,Syracuse,9.00,"May 9, 2017"
0,5V,1,Navy,1.00,"May 9, 2017"
1,5V,2,Brown,1.75,"May 9, 2017"
2,5V,3,Harvard,2.75,"May 9, 2017"
3,5V,4,Wisconsin,3.25,"May 9, 2017"
4,5V,5,Princeton,3.75,"May 9, 2017"
0,1V,1,Yale,1.06,"May 3, 2017"
1,1V,2,Harvard,1.88,"May 3, 2017"
2,1V,3,Princeton,2.94,"May 3, 2017"
3,1V,4,Dartmouth,3.76,"May 3, 2017"
4,1V,5,Northeastern,5.35,"May 3, 2017"
5,1V,6,Syracuse,5.65,"May 3, 2017"
6,1V,7,Boston U.,6.47,"May 3, 2017"
7,1V,8,Brown,7.76,"May 3, 2017"
8,1V,9,Wisconsin,8.71,"May 3, 2017"
9,1V,10,Cornell,9.94,"May 3, 2017"
10,1V,11,Columbia,10.41,"May 3, 2017"
11,1V,12,Pennsylvania,10.88,"May 3, 2017"
12,1V,13,Navy,11.82,"May 3, 2017"
13,1V,14,George Washington,13.00,"May 3, 2017"
14,1V,15,Georgetown,14.18,"May 3, 2017"
15,1V,16,Holy Cross,15.12,"May 3, 2017"
16,1V,17,MIT,16.06,"May 3, 2017"
17,1V,18,Rutgers,17.00,"May 3, 2017"
0,2V,1,Yale,1.12,"May 3, 2017"
1,2V,2,Harvard,1.94,"May 3, 2017"
2,2V,3,Boston U.,3.41,"May 3, 2017"
3,2V,4,Princeton,3.88,"May 3, 2017"
4,2V,5,Wisconsin,5.00,"May 3, 2017"
5,2V,6,Northeastern,5.41,"May 3, 2017"
6,2V,7,Brown,6.47,"May 3, 2017"
7,2V,8,Dartmouth,7.12,"May 3, 2017"
8,2V,9,George Washington,8.88,"May 3, 2017"
9,2V,10,Columbia,10.24,"May 3, 2017"
10,2V,11,Cornell,11.00,"May 3, 2017"
11,2V,12,Navy,11.29,"May 3, 2017"
12,2V,13,Syracuse,12.00,"May 3, 2017"
13,2V,14,Pennsylvania,12.06,"May 3, 2017"
14,2V,15,Georgetown,14.47,"May 3, 2017"
15,2V,16,Holy Cross,14.94,"May 3, 2017"
16,2V,17,MIT,16.12,"May 3, 2017"
17,2V,18,Rutgers,17.06,"May 3, 2017"
0,3V,1,Harvard,1.20,"May 3, 2017"
1,3V,2,Yale,1.73,"May 3, 2017"
2,3V,3,Princeton,2.87,"May 3, 2017"
3,3V,4,Boston U.,3.93,"May 3, 2017"
4,3V,5,Northeastern,5.27,"May 3, 2017"
5,3V,6,Dartmouth,5.67,"May 3, 2017"
6,3V,7,Brown,6.87,"May 3, 2017"
